perturbation_type,intensity,mean_fragmentation_ratio
casing,0.05,1.2163431897679886
casing,0.1,1.3794488208875904
casing,0.2,1.6275465312563153
elongation,0.05,1.093730128059109
elongation,0.1,1.1384232797311524
elongation,0.2,1.2425782957067468
slang,0.05,1.0087502886179522
slang,0.1,1.0085585836048516
slang,0.2,1.008791428249522
typo,0.05,1.190676948394384
typo,0.1,1.326312825920385
typo,0.2,1.5295400642835957
umlaut,0.05,1.0341293410556789
umlaut,0.1,1.0336543181415134
umlaut,0.2,1.034418287079513
