perturbation_type,intensity,macro_f1_mean,macro_f1_std
casing,0.05,0.7430210802301,0.0009579562755784527
casing,0.1,0.7117433513685908,0.0019954868801214695
casing,0.2,0.6529380913792702,0.011192503280614488
elongation,0.05,0.7711342037669021,0.0027212866960630885
elongation,0.1,0.7727768580220192,0.0014205730373487038
elongation,0.2,0.7633871529517315,0.003197889105186011
slang,0.05,0.7756390277934763,0.004951602994837786
slang,0.1,0.7767109125038877,0.005781543783823398
slang,0.2,0.7763027257981809,0.006151632802819559
typo,0.05,0.734784350463845,0.0018020176854493242
typo,0.1,0.6983639844540687,0.004098994346846398
typo,0.2,0.6156625216920245,0.022921536424303494
umlaut,0.05,0.7646717049808567,0.0017545204290631482
umlaut,0.1,0.7626694142029136,0.0021232293848788613
umlaut,0.2,0.7654938242997021,0.002035129116057571
